question,answer,category,source,type
هل يستطيع الطلبة استخدام نتائج اختبار القدرات والتحصيلي التي حصلوا عليها خلال الأعوام الماضية؟,نعم، يمكن ذلك إذا كانت الشهادة سارية المفعول، وفي حال انتهت صلاحيتها يجب إعادة إجراء الاختبار قبل التقديم.,admission,UAP FAQ - manually curated,faq
ما هي الوثائق المطلوبة لتقديم طلب جديد عبر المنصة؟,لا تتطلب المنصة رفع وثائق عند التقديم، حيث يتم سحب جميع الوثائق من الجهات المعنية بها، ولكن قد تتطلب بعض تذاكر الدعم الفني مستندات لإثبات الاستثناءات أو هوية المتقدم مثل أم المواطن.,admission,UAP FAQ - manually curated,faq
هل يمكنني التقديم على معهد الإدارة العامة من خلال المنصة؟,لا يمكن التقديم على معهد الإدارة العامة من خلال المنصة.,admission,UAP FAQ - manually curated,faq
لدي شهادة ثانوية عامة قديمة، وقد أعدت الامتحان مؤخرًا، لكن لا تزال الدرجة القديمة تظهر في المنصة، كيف يمكنني تحديثها لتظهر الدرجة الجديدة؟,يُرجى إعادة إصدار شهادة الثانوية من خلال نظام نور حتى يتم تحديث درجات الشهادة الجديدة في النظام.,admission,UAP FAQ - manually curated,faq
هل يوجد حد أدنى للمعدل المطلوب للتقديم؟,يعتمد المعدل على المعايير الأكاديمية الموضحة في تفاصيل كل تخصص، لذا قد يوجد حد أدنى في بعض التخصصات حسب شروط كل تخصص.,admission,UAP FAQ - manually curated,faq
هل يمكن تغيير التخصص بعد القبول النهائي؟,لا يمكن تغيير التخصص بعد القبول النهائي.,admission,UAP FAQ - manually curated,faq
هل معايير القبول ثابتة وموحدة لجميع التخصصات؟,لا، لكل تخصص معايير قبول مختلفة عن التخصصات الأخرى، ويمكن الاطلاع على المعايير الأكاديمية في صفحة تفاصيل التخصص.,admission,UAP FAQ - manually curated,faq
هل يوجد أولوية للقبول حسب تاريخ التقديم؟,لا توجد أولوية للقبول بناءً على تاريخ التقديم إلا في حالة واحدة فقط، وهي عند تساوي درجات الطلبة في التخصص نفسه وكانت المنافسة على آخر مقعد متاح.,admission,UAP FAQ - manually curated,faq
هل يمكنني إعادة التقديم مرة أخرى إذا لم يتم قبولي؟,يمكنك انتظار الفرص الإضافية التي قد تُتاح في المنصة في حال توفرت مقاعد شاغرة. أما في حال عدم توفر فرص خلال الفترة المحددة، فيمكن للطلبة التقديم في العام القادم.,admission,UAP FAQ - manually curated,faq
هل تكون أولوية القبول للحاصلين على شهادة الثانوية لهذا العام؟,بعض التخصصات تشترط أن يكون الطلبة حديثي التخرج من الثانوية العامة.,admission,UAP FAQ - manually curated,faq
هل يمكن إعادة ترتيب الرغبات بعد حفظها؟,نعم، يمكن إعادة ترتيب الرغبات بعد حفظها في أي وقت خلال فترة التقديم وحتى إغلاق التقديم.,admission,UAP FAQ - manually curated,faq
هل يسمح بقبول الطلبة غير السعوديين من أم سعودية؟,نعم، يتم التعامل مع الطلبة من أمهات سعوديات مثل الطلبة السعوديين.,admission,UAP FAQ - manually curated,faq
كم عدد الرغبات التي يمكن إضافتها؟,يتوجب على كل طالب وطالبة إضافة 25 تخصصًا في مختلف الجامعات، بالإضافة إلى تخصص واحد على الأقل من كليات المؤسسة العامة للتدريب التقني والمهني. ويعد هذا الشرط إلزاميًا، حيث لا يمكن استكمال إجراءات التقديم ما لم تتم إضافة العدد المطلوب من التخصصات.,admission,UAP FAQ - manually curated,faq
كيف يمكن معرفة نتيجة القبول؟,بعد انتهاء مراحل القبول سيظهر إشعار القبول في المنصة، كما سيتم إرسال رسالة نصية إلى الرقم المسجل في المنصة.,admission,UAP FAQ - manually curated,faq
ماذا يحدث إذا لم يؤكد الطلبة قبولهم في المدة المحددة؟,يجب على جميع الطلبة تأكيد قبولهم خلال الفترة المحددة، وفي حال عدم تأكيد القبول خلال هذه المدة سيُلغى الطلب نهائيًا.,admission,UAP FAQ - manually curated,faq
كيف يمكن للطلبة المقبولين في أحد التخصصات متابعة إجراءات القبول عبر المنصة؟,ستقوم الجامعة بالتواصل مع جميع الطلبة المقبولين عبر وسائل الاتصال المسجلة في المنصة، وذلك لاستكمال إجراءات القبول وفق المتطلبات المحددة لكل تخصص.,admission,UAP FAQ - manually curated,faq
هل يتم طلب أي مستندات من الطالب الذي تم قبوله عبر المنصة؟,لا تطلب المنصة أي مستندات، إلا أن بعض الجامعات قد تطلب مستندات إضافية وفقًا لمتطلباتها الخاصة باعتبارها جزءًا من إجراءات استكمال القبول لديها.,admission,UAP FAQ - manually curated,faq
ما هي آلية حساب المعدل التراكمي لشهادة الثانوية العامة للحاصلين عليها من المدارس العالمية، والتي لم يتم إضافتها في نظام نور؟,يمكن للطلبة معادلة الشهادات العالمية إلكترونيًا عبر نظام نور، علمًا بأن منصة القبول الموحد لا تتوفر لديها معلومات حول طريقة حساب المعدل التراكمي.,admission,UAP FAQ - manually curated,faq
ماذا يعني اللون الأخضر والأحمر عند كل رغبة خلال مرحلة إظهار الفرص المتاحة للطلبة وإجراء المقابلات الشخصية واختبارات القبول للطلبة؟ ولماذا تتغير بشكل مستمر؟,يشير اللون الأخضر إلى ارتفاع نسبة القبول في التخصص، مما يدل على فرصة قبول إيجابية. بينما يشير اللون الأحمر إلى انخفاض نسبة القبول، مما يعني فرصة قبول أقل. ويتغير اللون باستمرار وفقًا لعدد المتقدمين للتخصص ونسبة قبول الطلبة؛ فكلما ارتفعت نسبة الطالب مقارنة بالمتقدمين استمر اللون أخضر، وإذا انخفضت بسبب زيادة عدد المتقدمين أو تفوق درجاتهم يتحول إلى اللون الأحمر.,admission,UAP FAQ - manually curated,faq
لم أتمكن من تحديث الرغبات، كيف يمكن تعديلها خلال فترة التقديم؟,يُرجى الضغط على إضافة الرغبات والتأكد من عدم تجاوز العدد المسموح به من الرغبات، وفي حال استمرار المشكلة يمكن التواصل عبر قنوات الدعم الفني المتاحة.,admission,UAP FAQ - manually curated,faq
هل يتم إبلاغ الطلبة عن تغير حالة الطلب؟,نعم، يتم إبلاغ الطلبة عن طريق عنوان البريد الإلكتروني ورقم الجوال المسجلين في المنصة.,admission,UAP FAQ - manually curated,faq
هل يوجد مقابلة شخصية ضمن متطلبات القبول لجميع التخصصات؟,المقابلة الشخصية ليست شرطًا أساسيًا لكل التخصصات، وإنما تُطبق على بعض التخصصات التي تتطلب ذلك وفقًا لما تحدده الجامعة ضمن معايير القبول الخاصة بكل تخصص.,admission,UAP FAQ - manually curated,faq
ما هي الخطوة التالية بعد الحصول على القبول عبر المنصة؟,ستقوم الجامعات والمؤسسة العامة للتدريب التقني والمهني بإصدار الأرقام الجامعية والتواصل مع الطلبة المقبولين لاستكمال إجراءات القبول أو مراجعة الجهة التعليمية إذا دعت الحاجة.,admission,UAP FAQ - manually curated,faq
ما المقصود بالدرجة الموزونة في منصة قبول وكيف يتم احتسابها؟,الدرجة الموزونة هي معيار يُستخدم للمفاضلة بين الطلبة المتقدمين على التخصصات الجامعية. يتم احتسابها من خلال دمج نسبة من معدل الثانوية العامة مع درجات اختبارات مركز قياس، وتختلف طريقة الحساب من جامعة إلى أخرى ومن تخصص إلى آخر. تشمل الدرجة الموزونة عادة نسبة من معدل الثانوية العامة، ونسبة من درجة اختبار القدرات، ونسبة من درجة اختبار التحصيلي إن وجدت، ونسبة من درجة اختبارات كفايات اللغة الإنجليزية إن وجدت. ويمكن للطالب الاطلاع على طريقة احتساب الدرجة الموزونة لكل تخصص عبر خيار عرض كل التفاصيل داخل منصة قبول.,admission,UAP FAQ - manually curated,faq
لماذا لم أقبل في بعض التخصصات مع أن معدل نسبة الثانوية العامة عالٍ، وقبل من هو أقل؟,يعتمد القبول في الجامعات والكليات التقنية على عدد من المعايير التي تختلف من تخصص إلى آخر باختلاف الدرجة الموزونة، وتُعلن هذه المعايير للجميع قبل بدء إجراءات القبول. ويعد اختبار القدرات العامة والاختبار التحصيلي وترتيب الرغبات من العوامل المهمة التي تؤثر على فرص قبول الطلبة.,admission,UAP FAQ - manually curated,faq
هل يمكن اختيار جميع الرغبات في جامعة واحدة فقط؟,نعم، بشرط ألا يقل ولا يزيد عدد الرغبات المضافة عن 25 تخصصًا، إضافة إلى رغبة واحدة على الأقل في المؤسسة العامة للتدريب التقني والمهني.,admission,UAP FAQ - manually curated,faq
لماذا يتم عرض الدرجة الموزونة الخاصة بالعام الماضي في منصة قبول؟,تُعرض الدرجة الموزونة الخاصة بالعام الماضي كمرجع إرشادي يساعد الطلبة على تقييم فرص القبول في التخصصات أثناء مرحلة إضافة الرغبات. وتمثل هذه الدرجة الحد الأدنى للقبول في نفس التخصص خلال العام السابق، وتُستخدم لأغراض المقارنة فقط. أما الدرجة الموزونة الخاصة بالعام الحالي، فتُعرض خلال مرحلة إظهار الفرص المتاحة للطلبة وإجراء المقابلات الشخصية واختبارات القبول، وتعتمد على نتائج المفاضلة الفعلية بين الطلبة المتقدمين في العام الحالي.,admission,UAP FAQ - manually curated,faq
ما هي التخصصات المتاحة للطلبة بالجامعات؟,قبل صدور نتائج الثانوية العامة واختبارات مركز قياس، تُعرض التخصصات في مرحلة إضافة الرغبات بناءً على المسار الدراسي في المرحلة الثانوية. فعلى سبيل المثال، للتقديم على المسارات أو البرامج الصحية يجب أن يكون الطالب متخرجًا من المسار العلمي أو ما يعادله.,admission,UAP FAQ - manually curated,faq
ما هي طريقة تقديم الطلبة من ذوي الإعاقة؟,يتم التقديم على التخصصات المتاحة حسب نوع الإعاقة لدى الطالب أو الطالبة من خلال المنصة.,special cases,UAP FAQ - manually curated,faq
هل يُقبل مستفيدو الضمان الاجتماعي؟ وهل يُستثنون من بعض الشروط؟,لكل جامعة اشتراطات واستثناءات خاصة لمستفيدي الضمان الاجتماعي، ويُتاح للطلبة التقديم عبر المنصة والاستفادة منها وفقًا لمعايير القبول المحددة من قبل كل جامعة.,special cases,UAP FAQ - manually curated,faq
من هم الطلبة من ذوي الحالات الخاصة؟,الطلبة من ذوي الحالات الخاصة أو الاستثنائية هم: الطلبة من ذوي الإعاقة، أبناء الشهداء، أبناء المفقودين، أبناء الأسرى، أبناء المصابين، مجهولو الأبوين، ومستفيدو الضمان الاجتماعي.,special cases,UAP FAQ - manually curated,faq
أنا طالب من ذوي الحالات الاستثنائية، ولكن لا يظهر ذلك في المنصة، ما الحل؟,توجد بعض الاستثناءات التي تنطبق على فئات محددة من الطلبة، مثل ذوي الإعاقة بمختلف أنواعها، أبناء الشهداء، أبناء المفقودين، مستفيدو الضمان الاجتماعي، أبناء الأسرى، أبناء المصابين، مجهولو الأبوين، والطلبة الموهوبون. تظهر هذه الحالات تلقائيًا في المنصة لمن تنطبق عليهم الشروط بناءً على البيانات الرسمية المرتبطة بالأنظمة الحكومية. وفي حال عدم ظهور الحالة رغم استحقاق الطالب لها، يُرجى مراجعة وتحديث البيانات عبر نظام نور.,special cases,UAP FAQ - manually curated,faq
ما هي الكليات الموجودة في جامعة جدة؟,تضم جامعة جدة عددًا من الكليات في مختلف التخصصات، وتشمل الكليات العلمية: كلية علوم وهندسة الحاسب، كلية الهندسة، كلية العلوم، كلية علوم الرياضة، كلية الحاسبات وتقنية المعلومات بخليص، وكلية الحاسبات وتقنية المعلومات بالكامل. وتشمل الكليات الصحية: كلية الطب وكلية العلوم الطبية التطبيقية. وتشمل الكليات الإدارية والاقتصادية: كلية الأعمال، كلية الأعمال بالكامل، وكلية الأعمال بخليص. وتشمل الكليات الإنسانية: كلية العلوم الاجتماعية والإعلام، كلية التصاميم والفنون، كلية التربية، كلية اللغات والترجمة، وكلية الشريعة والقانون. وتشمل الكليات التطبيقية: الكلية التطبيقية، وفرع الكلية التطبيقية بالكامل، وفرع الكلية التطبيقية بخليص.,general,University of Jeddah Website,faq
متى تأسست جامعة جدة؟,تأسست جامعة جدة عام 2014م بقرار من مجلس التعليم العالي في المملكة العربية السعودية.,general,University of Jeddah Website,faq
أين يقع المقر الرئيسي لجامعة جدة؟,يقع المقر الرئيسي لجامعة جدة في مدينة جدة بالمملكة العربية السعودية، ولها عدة فروع ومجمعات تعليمية في محافظات مختلفة.,general,University of Jeddah Website,faq
ما هي رؤية جامعة جدة؟,تسعى جامعة جدة إلى أن تكون جامعة رائدة ومتميزة في التعليم والبحث والابتكار وخدمة المجتمع بما يتوافق مع رؤية المملكة العربية السعودية 2030.,general,University of Jeddah Website,faq
هل توفر جامعة جدة برامج دراسات عليا؟,نعم، توفر جامعة جدة برامج دراسات عليا تشمل الماجستير والدكتوراه في عدد من التخصصات العلمية والإدارية والإنسانية.,general,University of Jeddah Website,faq
هل توفر جامعة جدة خدمات إلكترونية للطلاب؟,نعم، توفر جامعة جدة مجموعة من الخدمات الإلكترونية للطلاب مثل الخدمات الأكاديمية والتسجيل والجداول الدراسية والخدمات الذاتية عبر البوابة الإلكترونية للجامعة.,general,University of Jeddah Website,faq
هل يوجد سكن جامعي في جامعة جدة؟,توفر جامعة جدة خدمات إسكان جامعي للطلاب والطالبات وفق ضوابط وشروط معينة تحددها الجامعة.,general,University of Jeddah Website,faq
هل تدعم جامعة جدة الأنشطة الطلابية؟,نعم، تدعم جامعة جدة الأنشطة الطلابية المختلفة وتشجع الطلبة على المشاركة في البرامج الثقافية والرياضية والتطوعية والابتكارية.,general,University of Jeddah Website,faq
ما هي شروط القبول في جامعة جدة؟,تشمل شروط القبول العامة في جامعة جدة أن يكون المتقدم سعودي الجنسية أو من أم سعودية، وأن يكون حاصلًا على شهادة الثانوية العامة أو ما يعادلها، مع توفر درجات القدرات والتحصيلي حسب المسار المطلوب.,القبول,Manual FAQ,faq
شروط القبول ايش؟,تشمل شروط القبول العامة في جامعة جدة أن يكون المتقدم سعودي الجنسية أو من أم سعودية، وأن يكون حاصلًا على شهادة الثانوية العامة أو ما يعادلها، مع توفر درجات القدرات والتحصيلي حسب المسار المطلوب.,القبول,Manual FAQ,faq
كيف انقبل في جامعة جدة؟,للقبول في جامعة جدة يجب تحقيق شروط القبول العامة، ومنها الحصول على الثانوية العامة أو ما يعادلها، وتوفر درجات القدرات والتحصيلي حسب المسار، ثم التقديم عبر بوابة القبول الإلكترونية.,القبول,Manual FAQ,faq
كم النسبة الموزونة المطلوبة؟,تختلف النسبة الموزونة المطلوبة في جامعة جدة حسب المسار والتخصص، وتعتمد عادة على الثانوية العامة والقدرات والتحصيلي.,النسب الموزونة,Manual FAQ,faq
كيف أحسب النسبة الموزونة؟,يتم حساب النسبة الموزونة في جامعة جدة حسب المسار. في بعض المسارات تعتمد على الثانوية العامة والقدرات والتحصيلي، وقد تختلف الأوزان حسب التخصص.,النسب الموزونة,Manual FAQ,faq
ابي اعرف النسبة الموزونة,النسبة الموزونة في جامعة جدة تختلف حسب المسار والتخصص، وتعتمد على درجات الثانوية العامة والقدرات والتحصيلي.,النسب الموزونة,Manual FAQ,faq
ما هي السنة التأهيلية؟,السنة التأهيلية في جامعة جدة هي برنامج مدفوع الرسوم مدته عام دراسي واحد، مخصص للطلاب الذين لم يحققوا النسبة المطلوبة للقبول المباشر، ويمكنهم بعدها الالتحاق بالجامعة عند تحقيق الشروط المطلوبة.,السنة التأهيلية,Manual FAQ,faq
كم رسوم السنة التأهيلية؟,رسوم السنة التأهيلية في جامعة جدة هي 18000 ريال للسنة الدراسية.,السنة التأهيلية,Manual FAQ,faq
كم رسوم التاهيليه؟,رسوم السنة التأهيلية في جامعة جدة هي 18000 ريال للسنة الدراسية.,السنة التأهيلية,Manual FAQ,faq
ما هي مسارات السنة التأهيلية؟,لا تتوفر لدي تفاصيل مؤكدة عن جميع مسارات السنة التأهيلية في البيانات الحالية. المتوفر أن السنة التأهيلية برنامج مدفوع الرسوم مدته عام دراسي واحد.,السنة التأهيلية,Manual FAQ,faq
هل يوجد دبلومات؟,نعم، تقدم جامعة جدة برامج دبلوم تطبيقية في عدة مجالات.,الدبلومات,Manual FAQ,faq
هل فيه دبلومات؟,نعم، تقدم جامعة جدة برامج دبلوم تطبيقية في عدة مجالات.,الدبلومات,Manual FAQ,faq
ما هي تخصصات الدبلوم؟,تشمل تخصصات الدبلوم في جامعة جدة عدة مجالات مثل البرمجة، الأمن السيبراني، الموارد البشرية، المحاسبة، والتسويق، حسب البرامج المتاحة.,الدبلومات,Manual FAQ,faq
هل يوجد تخصص ذكاء اصطناعي؟,نعم، يوجد تخصص الذكاء الاصطناعي في جامعة جدة ضمن كلية علوم وهندسة الحاسب.,التخصصات,Manual FAQ,faq
هل جامعة جدة فيها ذكاء اصطناعي؟,نعم، يوجد تخصص الذكاء الاصطناعي في جامعة جدة ضمن كلية علوم وهندسة الحاسب.,التخصصات,Manual FAQ,faq
ما تخصصات كلية الحاسب؟,تشمل تخصصات كلية علوم وهندسة الحاسب في جامعة جدة: هندسة الحاسب والشبكات، الذكاء الاصطناعي، علوم الحاسب، الأمن السيبراني، علوم البيانات، وهندسة البرمجيات.,التخصصات,Manual FAQ,faq
ابي تخصصات الحاسب,تشمل تخصصات كلية علوم وهندسة الحاسب في جامعة جدة: هندسة الحاسب والشبكات، الذكاء الاصطناعي، علوم الحاسب، الأمن السيبراني، علوم البيانات، وهندسة البرمجيات.,التخصصات,Manual FAQ,faq
ما الفرق بين الأمن السيبراني وعلوم الحاسب؟,علوم الحاسب يركز على البرمجة، الخوارزميات، قواعد البيانات، وتطوير الأنظمة. أما الأمن السيبراني فيركز على حماية الأنظمة والشبكات والبيانات من الهجمات والاختراقات. وكلا المجالين من تخصصات الحاسب في جامعة جدة.,التخصصات,Manual FAQ,faq
ما شروط التحويل؟,لا تتوفر لدي تفاصيل كافية عن شروط التحويل في البيانات الحالية. يفضل الرجوع إلى عمادة القبول والتسجيل في جامعة جدة للحصول على الشروط الرسمية.,التحويل,Manual FAQ,faq
هل القبول مجاني؟,التقديم عبر منصة القبول لا يتطلب رسومًا لاستخدام المنصة. أما بعض البرامج مثل السنة التأهيلية فهي مدفوعة الرسوم.,القبول,Manual FAQ,faq
